"dista","station","comp"
231.376248837306,"T5","FV2 vs RVK"
235.036614645892,"T5","FV3 vs RVK"
146.488111473719,"T6","FV2 vs FV3"
516.124312470385,"T6","FV2 vs RVK"
534.54151848713,"T6","FV3 vs RVK"
403.249344518857,"37","FV2 vs FV3"
333.959008572609,"37","FV2 vs RVK"
446.581328102112,"37","FV3 vs RVK"
1381.90925950356,"33","FV2 vs FV3"
616.211329299321,"33","FV2 vs RVK"
872.489157187948,"33","FV3 vs RVK"
408.489679008095,"34","FV2 vs FV3"
294.302368401789,"34","FV2 vs RVK"
607.637977658808,"34","FV3 vs RVK"
20516.5340160023,"11","FV2 vs FV3"
427.518956147159,"11","FV2 vs RVK"
20111.8677185854,"11","FV3 vs RVK"
258.685506705585,"13","FV2 vs FV3"
335.021230067542,"13","FV2 vs RVK"
477.201788106516,"13","FV3 vs RVK"
494.397656347389,"22","FV2 vs FV3"
435.692552734335,"22","FV2 vs RVK"
315.88081680671,"22","FV3 vs RVK"
538.531835304445,"T7","FV2 vs FV3"
240.395008641332,"T7","FV2 vs RVK"
324.859486383096,"T7","FV3 vs RVK"
578.950180393958,"T8","FV2 vs FV3"
617.294698443528,"T8","FV2 vs RVK"
179.766250558308,"T8","FV3 vs RVK"
139.013125096105,"T9","FV2 vs FV3"
578.747902690458,"T9","FV2 vs RVK"
669.749165722635,"T9","FV3 vs RVK"
